Auteur,Texte,Date
https://forms.gle/KUcx1E4gVoSSRL6p7,"Formulaire de Sondage pour le lieu souhaité pour  récupérer les ordinateurs du programme 1 étudiant, 1 ordinateur des étudiants de l'UV-BF.
L’Université Virtuelle du Burkina Faso (UV-BF) informe ses étudiants dont la subvention a été accordé après souscription au programme Un étudiant un ordinateur qu'un formulaire a été élaboré à leur intention afin de recueillir les choix sur les zones dans lesquelles ils pourront récupérer facilement leur ordinateur afin de les éviter de se déplacer à Ouagadougou. 
Le programme prenant fin d'ici le mois de Septembre, les étudiants sont donc priés de remplir soigneusement le formulaire avec les bonnes informations au plus tard le 29 Juillet 2024 à 23h59.
Lien du formulaire : https://forms.gle/KUcx1E4gVoSSRL6p7
NB: Merci de bien vérifier les informations renseignées, car ceux qui rempliront  avec des erreurs ne seront pas considérés.
Université Virtuelle du Burkina Faso, une formation universitaire de qualité pour tous !",01/01/2018
#Rentrée2024,"#Rentrée2024 - UV-BF : Découvrez nos tutoriels de prise en main !
Thème du jour : ""Présentation des activités sur la plateforme de formation de l'UV-BF.""
Chers étudiants, cette vidéo vous présente les différentes activités que vous pourrez réaliser sur la plateforme de formation, telles que les forums de discussion, les devoirs en ligne, les tests et les sondages. Vous y découvrirez comment ces activités s'intègrent dans votre parcours académique et contribuent à votre apprentissage interactif.
Astuce : N’hésitez pas à utiliser régulièrement les forums pour interagir avec vos enseignants et vos camarades. C’est un excellent moyen de poser des questions, de partager des idées et de renforcer votre compréhension des cours.
En rappel, les accès seront bientôt disponibles et une communication spécifique sera faite pour vous en informer. En attendant, ce tutoriel vous aidera à être prêt dès que les identifiants vous seront envoyés.
Vous trouverez plus de tutoriels vidéo sur la chaîne YouTube de l'UV-BF à travers ce lien : https://www.youtube.com/watch?v=5J1dOLpAiiw...
Ensemble, maîtrisons la plateforme pour réussir cette année académique.
Université Virtuelle du Burkina Faso, une formation universitaire de qualité pour tous !",01/01/2018
#session," 𝗖𝗜𝗧É𝗦 𝗨𝗡𝗜𝗩𝗘𝗥𝗦𝗜𝗧𝗔𝗜𝗥𝗘𝗦
Une #session sera ouverte pour les dépôts, en ligne des demandes de lits, au titre de l'année universitaire 2024-2025.
𝐩𝐫𝐞𝐦𝐢è𝐫𝐞 𝐬𝐞𝐬𝐬𝐢𝐨𝐧 𝐝𝐮 𝐝𝐢𝐦𝐚𝐧𝐜𝐡𝐞 𝟏𝟓 𝐬𝐞𝐩𝐭𝐞𝐦𝐛𝐫𝐞 𝟐𝟎𝟐𝟒 𝐚𝐮 𝐣𝐞𝐮𝐝𝐢 𝟐𝟔 𝐬𝐞𝐩𝐭𝐞𝐦𝐛𝐫𝐞 𝟐𝟎𝟐𝟒.
 𝐝𝐞𝐮𝐱𝐢è𝐦𝐞 𝐬𝐞𝐬𝐬𝐢𝐨𝐧 𝐝𝐮 𝐝𝐢𝐦𝐚𝐧𝐜𝐡𝐞 𝟐𝟗 𝐬𝐞𝐩𝐭𝐞𝐦𝐛𝐫𝐞 𝐚𝐮 𝐝𝐢𝐦𝐚𝐧𝐜𝐡𝐞 𝟎𝟔 𝐨𝐜𝐭𝐨𝐛𝐫𝐞 𝟐𝟎𝟐𝟒.
sur :… En voir plus",01/01/2018
#Burkina,#Burkina #uvbf #scolaire,01/01/2018
https://l.francebleu.fr/UvBf,"Une initiative pour continuer l'apprentissage de la langue provençale au lycée 
 https://l.francebleu.fr/UvBf",01/01/2018
Université Virtuelle du Burkina Faso - UVBF,1ère Rencontre d'informations Université Virtuelle du Burkina Faso - UVBF,01/01/2018
ordinateur.campusfaso.bf," 1 étudiant 1 ordinateur / Université Virtuelle du Burkina Faso - UVBF 
Ouverture de la plateforme au profit des étudiants de l'université virtuelle
Tu es orienté à l'UV? souscrit dès maintenant sur ordinateur.campusfaso.bf
Livraison en moins d'une semaine
subventionnés par l'état à 85%",01/01/2018
#Campus,"#Campus 
𝗥𝗘𝗠𝗜𝗦𝗘 𝗗𝗘𝗦 𝗢𝗥𝗗𝗜𝗡𝗔𝗧𝗘𝗨𝗥𝗦/ 𝗨𝗡𝗜𝗩𝗘𝗥𝗦𝗜𝗧𝗘 𝗩𝗜𝗥𝗧𝗨𝗘𝗟𝗟𝗘
Les étudiants dont les noms figurent sur les listes ci-dessous peuvent passer à l'Espace Numérique Ouvert de Karpala, 𝐝𝐮 𝟏𝟎 𝐚𝐮 𝟐𝟑 𝐚𝐮 𝟐𝟒 𝐉𝐮𝐢𝐥𝐥𝐞𝐭 𝟐𝟎𝟐𝟒 𝐚𝐟𝐢𝐧 𝐝𝐞 𝐫é𝐜𝐮𝐩é𝐫𝐞𝐫 𝐥𝐞𝐮𝐫𝐬 𝐨𝐫𝐝𝐢𝐧𝐚𝐭𝐞𝐮𝐫𝐬 𝐝𝐞 𝐌𝐚𝐫𝐪𝐮𝐞 𝐀𝐒𝐔𝐒 𝐂𝐞𝐥𝐞𝐫𝐨𝐧.
La remise des ordinateurs se fait au sein de l'Espace Numérique Ouvert de Karpala de 08h à 15h.
N.B:
- Chaq… En voir plus",01/01/2018
#Campus,"#Campus 
Les étudiants dont les noms figurent sur les listes ci-dessous peuvent passer à l'Espace Numérique Ouvert de Karpala, du 𝟏𝟎 𝐚𝐮 𝟐𝟑 𝐚𝐮 𝟐𝟒 𝐉𝐮𝐢𝐥𝐥𝐞𝐭 𝟐𝟎𝟐𝟒 𝐚𝐟𝐢𝐧 𝐝𝐞 𝐫é𝐜𝐮𝐩é𝐫𝐞𝐫 𝐥𝐞𝐮𝐫𝐬 𝐨𝐫𝐝𝐢𝐧𝐚𝐭𝐞𝐮𝐫𝐬 𝐝𝐞 𝐌𝐚𝐫𝐪𝐮𝐞 𝐀𝐒𝐔𝐒 𝐢𝟑.
La remise des ordinateurs se fait au sein de l'Espace Numérique Ouvert de Karpala de 08h à 15h.
N.B:
- Chaque étudiant doit se munir de sa CNIB pour le retrait de son ordinateur,
- Pour le retrait pour une tierce personne, vous devez disposer d'une procuration en bonne et due forme.
Source : UVBF
Abonnez-vous à Oreilleducampus",01/01/2018
Université Virtuelle du Burkina Faso - UVBF,"Par la grâce divine ainsi que le dévouement de mes encadreurs nous avons pu soutenir le 28/06/2024.
Thème : Optimisation énergétique des installations électriques des bâtiments de la SONABHY ( OUAGA)
Objet : réduction de la consommation électrique et financière du client.
Résultats : 
- Consommation réduite de 32.1%
- Facture d'électricité réduite de 90,7%
Hybridation du site par un mini central solaire de 20%
T.R.I : 18,7 mois ( excellent)
Travail jugé très bien et recevable, nous avons été félicité avec la note de 17/20.
Je réitère mes remerciements à tout ceux de prêt ou de loin nous ont soutenu pour ce beau parcours.
Université Virtuelle du Burkina Faso - UVBF 
Club Scientifique des Etudiants de l'Université Virtuelle du Burkina Faso  
Aneree 
Pr Tizane Daho",01/01/2018
ordinateur.campusfaso.bf," 1 étudiant 1 ordinateur / Université Virtuelle du Burkina Faso - UVBF 
Ouverture de la plateforme au profit des étudiants de l'université virtuelle
Tu es orienté à l'UV? souscrit dès maintenant sur ordinateur.campusfaso.bf
Livraison en mois d'une semaine
subventionnés par l'état à 85%
Assistance 75403832",01/01/2018
ordinateur.campusfaso.bf,ordinateur.campusfaso.bf,01/01/2018
Université Virtuelle du Burkina Faso - UVBF," 1 étudiant 1 ordinateur / Université Virtuelle du Burkina Faso - UVBF 
Ouverture de la plateforme au profit des étudiants de l'université virtuelle
Tu es orie… En voir plus",01/01/2018
https://uv.bf/retrait-des-puces-telephoniques-afin-de.../,"Retrait des puces téléphoniques afin de bénéficier de la connexion gratuite (Mégas de connexion) – Villes de BANFORA et DEDOUGOU.
Dans le cadre de l’accompagnement des étudiants avec la connexion internet, l’Université Virtuelle du Burkina Faso (UV-BF) met à la disposition de ses étudiants des Cartes SIM ORANGE (puces téléphoniques) dédiées qui seront rechargées à hauteur de 10 Go/mois.
A cet effet, elle invite ses étudiants des villes de BANFORA et DEDOUGOU, dont les noms suivent a se rendre du 22 au 23 Aout 2024, au differents lieux indiqués par ville, pour le retrait de leurs Cartes SIM.
Le lieu de retrait pour chaque ville est précisé sur chaque liste.
Consulter les listes sur notre site internet : https://uv.bf/retrait-des-puces-telephoniques-afin-de.../
Université Virtuelle du Burkina Faso, une formation universitaire de qualité pour tous !",01/01/2018
#UNB,"Pour l'impression de vos carte d'etudiant au bon format Plastique envoyez juste votre carte pdf par WhatsApp au 74177417 . Pour ceux aussi qui n'arrive pas a telecharger leur carte envoyer un message pour assistance ou appelé le 74177417. Merci
#UNB
#CARTE
#campusfaso
Université Virtuelle du Burkina Faso - UVBFUVBF
Université Nazi BONI",01/01/2018
Université Virtuelle du Burkina Faso - UVBF,"Découvrons Université Virtuelle du Burkina Faso - UVBF 
Les #orientations dans cette université se font au même moment que dans les universités classiques à  travers la plateforme forme www.campusfaso.bf .
Du 7 au 17 septembre 2024 ,il y a la session de rattrapage.",01/01/2018
Université Joseph Ki-Zerbo,"𝐑𝐄𝐓𝐎𝐔𝐑 𝐒𝐔𝐑 𝐋𝐀 𝐏𝐑𝐄𝐒𝐓𝐀𝐓𝐈𝐎𝐍 𝐃𝐔 𝐋𝐀𝐔𝐑𝐄𝐀𝐓 
𝟏𝐄𝐑 𝐏𝐑𝐈𝐗 𝐃𝐔 𝐉𝐔𝐑𝐘 𝐌𝐓𝟏𝟖𝟎 𝐄𝐃𝐈𝐓𝐈𝐎𝐍 𝟐𝟎𝟐𝟒
Université Joseph Ki-Zerbo Université Virtuelle du Burkina Faso - UVBF Universite  Norb… En voir plus",01/01/2018
Université Virtuelle du Burkina Faso - UVBF," 𝐏𝐫𝐞́𝐬𝐞𝐧𝐭𝐚𝐭𝐢𝐨𝐧 𝐝𝐞𝐬 𝐚𝐜𝐭𝐢𝐯𝐢𝐭𝐞́𝐬 𝐝𝐞 𝐂𝐈𝐓𝐀𝐃𝐄𝐋 𝐚̀ 𝐥𝐚 𝐩𝐫𝐞𝐬𝐬𝐞 𝐞𝐧 𝐝𝐢𝐫𝐞𝐜𝐭 𝐝𝐞 𝐊𝐨𝐮𝐝𝐨𝐮𝐠𝐨𝐮 ! 
Les 𝟏𝟒 𝐞𝐭 𝟏𝟓 𝐨𝐜𝐭𝐨𝐛𝐫𝐞 𝟐𝟎𝟐𝟒, nous réunissons des professionnels des médias à Koudougou pour une présentation exclusive des activités du Centre d’Excellence Interdisciplinaire en Intelligence Artificielle pour le Développement (CITADEL). 
 𝐎𝐛𝐣𝐞𝐜𝐭𝐢𝐟𝐬 𝐝𝐞 𝐥'𝐚𝐭𝐞𝐥𝐢𝐞𝐫 :
> Présenter l’IA, ses concepts, ses domaines d'application et ses défis ;
> Présenter les applications majeures de l’IA aujourd’hui avec des exemples concrets ;
> Répondre à certaines questions à polémique autour de l’IA ;
> Explorer l'impact de l'IA dans le journalisme ;
> Mettre en lumière les activités et les résultats majeurs de CITADEL ;
> Présenter les outils développés par les étudiants de CITADEL ;
> Discuter des opportunités pour l’intégration et l’adoption de l’IA au Burkina Faso ;
> Présenter les initiatives en matière d'IA au Burkina Faso ;
> Répondre aux préoccupations des participants.
Restez connectés pour des mises à jour et des moments forts de cet événement ! 
Université Virtuelle du Burkina Faso - UVBF  
RTB BF1 TV BurkinaInfo Savane TV 3TV 
Agence d'Information du Burkina (AIB)   LeFaso.net  Faso7  Burkina 24  
Ouaga Fm  OmegaFM Radio  Savane FM  @horizonfm RTB Radio Rurale 
#CITADEL #IA #Innovation #AIforDevelopment #Koudougou #PresseBurkina #IntelligenceArtificielle #DigitalBurkina",01/01/2018
#KIX,"#KIX 
#kixdrumstick  
#cfbf 
#tambour",01/01/2018
La BF dans tous ses états - Stage CFBF Grand-Est,"Beau cadeau pour nos percussionnistes aujourd’hui à La BF dans tous ses états - Stage CFBF Grand-Est
Merci au partenaire du jour KIX BAGUETTES. 
KIX drumsticks
CFBF - Confédération Française des Batteries & Fanfares
Union Vosgienne Batteries Fanfares UVBF",01/01/2018
https://www.instagram.com/la_riviere_martres,"Pensez à nous suivre sur Instagram 
Afin d’y retrouver la carte du moment 
https://www.instagram.com/la_riviere_martres",01/01/2018
#SIO2024,"Jour 3 de la Semaine de l'Information et de l'Orientation (SIO-2024) Post BAC !
Chers étudiants, futurs étudiants, professionnels et parents, nous vous invitons à nous rejoindre au SIAO pour la SIO-2024.
Venez visiter notre stand, rencontrer notre équipe et obtenir toutes les informations dont vous avez besoin. Nous serons ravis de répondre à vos questions et de vous aider à planifier votre avenir académique et professionnel. Ne manquez pas cette opportunité !
Université Virtuelle du Burkina Faso, une formation universitaire de qualité pour tous !
#SIO2024 #OrientationPostBAC #EnseignementSupérieur #BurkinaFaso",01/01/2018
#Rentrée2024,"#Rentrée2024 - UV-BF : Découvrez nos tutoriels de prise en main !
Chers étudiants, la rentrée 2024-2025 approche à grands pas, et pour vous accompagner au mieux dans la découverte de notre plateforme de formation, l'Université Virtuelle du Burkina Faso (UV-BF) lance une série de tutoriels vidéo.
À partir de ce lundi 30 septembre et jusqu'au 15 novembre 2024, nous diffuserons 17 tutoriels vidéo pour vous guider pas à pas dans l’utilisation de notre plateforme de cours. Chaqu… En voir plus",01/01/2018
#Rentrée2024,"#Rentrée2024 - UV-BF : Découvrez nos tutoriels de prise en main !
Thème du jour : ""Modifier un message sur le forum de la plateforme de formation de l'UV-BF.""
Lien : https://www.youtube.com/watch?v=WtVOUal9ZV0...
Chers étudiants, ce tutoriel vous guide étape par étape sur la façon de modifier un message déjà publié dans un forum de discussion sur la plateforme de formation. Vous apprendrez comment repérer votre message, l’éditer pour corriger des erreurs ou ajouter des informations, puis enregistrer vos modifications pour que le contenu mis à jour soit visible par tous les participants.
Astuce : Veillez toujours à relire vos messages avant de les publier. Si vous devez modifier un message, utilisez l’option d’édition pour préciser la raison du changement (par exemple : ""Correction d'une erreur"" ou ""Ajout de nouvelles informations"") afin d’assurer la clarté des échanges.
En rappel, les accès seront bientôt disponibles et une communication spécifique sera faite pour vous en informer. En attendant, ce tutoriel vous aidera à être prêt dès que les identifiants vous seront envoyés.
Vous trouverez plus de tutoriels vidéo sur la chaîne YouTube de l'UV-BF.
Ensemble, maîtrisons la plateforme pour réussir cette année académique.
Université Virtuelle du Burkina Faso, une formation universitaire de qualité pour tous !",01/01/2018
#Rentrée2024,"#Rentrée2024 - UV-BF : Découvrez nos tutoriels de prise en main !
Thème du jour 7 : ""La navigation sur la plateforme de formation de l'UV-BF.""
Lien : https://www.youtube.com/watch?v=ij6vhQc_lu0...
Chers étudiants, cette vidéo vous guide dans la navigation sur notre plateforme de formation en ligne. Vous y apprendrez comment parcourir les différentes sections, accéder aux menus principaux et secondaires, et utiliser les fonctionnalités clés pour vous orienter facilement dans votre espace de cours.
Astuce : Familiarisez-vous avec le menu principal de la plateforme, car il vous permet d’accéder rapidement à vos cours, à votre calendrier, et aux ressources partagées par vos enseignants. Prenez le temps d’explorer chaque section pour mieux organiser votre apprentissage.
En rappel, les accès seront bientôt disponibles et une communication spécifique sera faite pour vous en informer. En attendant, ce tutoriel vous aidera à être prêt dès que les identifiants vous seront envoyés.
Vous trouverez plus de tutoriels vidéo sur la chaîne YouTube de l'UV-BF à travers ce lien : https://www.youtube.com/@universitevirtuelleburkina8294
Ensemble, maîtrisons la plateforme pour réussir cette année académique.
Université Virtuelle du Burkina Faso, une formation universitaire de qualité pour tous !",01/01/2018
#Rentrée2024,"#Rentrée2024 - UV-BF : Découvrez nos tutoriels de prise en main !
Thème du jour 14 : ""Actualité des messages sur le forum de la plateforme de formation de l'UV-BF.""
Lien : https://www.youtube.com/watch?v=RmQ3UxwDRYc...… En voir plus",01/01/2018
#Rentrée2024,"#Rentrée2024 - UV-BF : Découvrez nos tutoriels de prise en main !
Thème du jour 6 : ""Présentation des ressources sur la plateforme de formation de l'UV-BF.""
Lien : https://www.youtube.com/watch?v=bT6xaUyWY0g...
Chers étudiants, cette vidéo vous montre comment accéder et utiliser efficacement les ressources pédagogiques disponibles sur la plateforme de formation de l’UV-BF. Vous y découvrirez comment naviguer entre les documents de cours, les vidéos, les supports supplémentaires et les guides académiques pour enrichir votre apprentissage.
Astuce : Utilisez la fonction de recherche intégrée pour trouver rapidement les ressources spécifiques dont vous avez besoin pour vos révisions et travaux. N’oubliez pas d’explorer la bibliothèque en ligne pour un accès complémentaire à des ressources variées.
En rappel, les accès seront bientôt disponibles et une communication spécifique sera faite pour vous en informer. En attendant, ce tutoriel vous aidera à être prêt dès que les identifiants vous seront envoyés.
Ensemble, maîtrisons la plateforme pour réussir cette année académique.
Université Virtuelle du Burkina Faso, une formation universitaire de qualité pour tous !",01/01/2018
#Rentrée2024,"#Rentrée2024 - UV-BF : Sessions Facebook Live pour les nouveaux étudiants !
Chers étudiants, à l’occasion de la rentrée académique 2024-2025, l’Université Virtuelle du Burkina Faso (UV-BF) souhaite vous offrir toutes les informations nécessaires pour démarrer l’année dans les meilleures conditions.
Pour vous préparer au mieux aux sessions Facebook Live prévues les 3 octobre et 10 octobre 2024, nous lançons un formulaire Google pour recueillir toutes vos questions à l’avance. Vous avez des interrogations sur le déroulement des cours, l’utilisation de la plateforme ou toute autre préoccupation ? N’hésitez pas à nous les soumettre !
 Vous avez jusqu'à demain à minuit pour soumettre vos questions.
Lien vers le formulaire : https://docs.google.com/.../1FAIpQLSceNPJOODO.../viewform...
Nous répondrons en direct à toutes vos questions lors des sessions Live. Restez connectés, et nous avons hâte d’échanger avec vous !",01/01/2018
#LIVE,"[#LIVE] #Choisir_mon_école du 29 juillet  2024 sur 3TV (Canal+254/TNT) et WAT FM 100.7, présenté par David NANA.
Invité : Université Virtuelle du Burkina Faso - UVBF",01/01/2018
www.campusfaso.bf,"Allons à la découverte de l’unique université virtuelle du pays
l'Université Virtuelle du Burkina Faso - UVBF .
C'est une université publique et les cours se font entièrement en ligne pareil pour certaines évaluations.
Les orientations dans cette université se font au même moment que dans les université classique à  travers la plateforme forme www.campusfaso.bf .
Du 7 au 17 septembre 2024 ,il y a la session de rattrapage. 
Pour les filières :
-les littéraires peuvent s'inscrire en #lettres_modernes et en #Droit.
-les scientifiques peuvent s'inscrire en #économie,  #mathématiques,  #physique, #informatique, #SVT,#geomatique...
Dans vos choix d'options privilégier les filières de l'université virtuelle si toutefois vous voulez fréquenter là-bas.
#NB: Les frais se limitent  à #51.500 Fcfa pour ce qui est des filières #lettres_modernes,  #DROIT et #économie pour les candidats salariés et les  bacheliers de session antérieure à 2023 par contre  les élèves (2023, 2024) paient16.500 Fcfa. Et vous avez droit à un ordinateur subventionné à #85% .",01/01/2018
www.campusfaso.bf,"www.campusfaso.bf
La plateforme est disponible.
un nouveau communiqué viendra préciser le délai des orientations.",01/01/2018
https://forms.gle/GoanBcsC9Uf124yd8,"Dans le but de permettre l'organisation des examens en présentiel au profit des étudiants résidant hors de  Ouagadougou, l'UV-BF souhaite disposer d'informations sur les villes où les étudiants souhaitent composer les examens sur table en présentiel. Dans ce cadre, un formulaire a été élaboré et mis à votre disposition.
Lien : https://forms.gle/GoanBcsC9Uf124yd8
Merci de le remplir en suivant les instructions, afin de nous permettre de mieux répondre aux attentes des uns et des autres, pour une année académique réussie !
Université Virtuelle du Burkina Faso, une formation universitaire de qualité pour tous !",01/01/2018
https://uv.bf/appel-a-candidature-pour-le-recrutement.../,"Appel à candidature pour le recrutement d’étudiants en L2 et L3 à l’UV-BF au titre de l’année académique 2023-2024.
L’Université Virtuelle du Burkina Faso (UV-BF) lance un appel à candidatures, pour le recrutement sur dossier, d’étudiants en deuxième année (L2) et en troisième année (L3) de Licence au titre de l’année académique 2023-2024.
Plus d'informations sur notre site internet : https://uv.bf/appel-a-candidature-pour-le-recrutement.../
Université Virtuelle du Burkina Faso, une formation universitaire de qualité pour tous !",01/01/2018
